id,name,rank,status,parent_tsn
172729,Etropus crossotus,Species,valid,172728
623630,Nansenia crassa,Species,valid,162058
166487,Hippocampus,Genus,valid,644845
172734,Paralichthys,Genus,valid,553179
172251,Acanthurus,Genus,valid,172250
95572,Thysanoessa gregaria,Species,valid,95571
162193,Vinciguerria attenuata,Species,valid,162192
162714,Loweina,Genus,valid,623694
166759,Sebastes rastrelliger,Species,valid,166705
170335,Mugil cephalus,Species,valid,170334
166012,Atherinopsis californiensis,Species,valid,166011
644735,Synodus scituliceps,Species,valid,162375
161120,Albula,Genus,valid,635300
623813,Gonichthys tenuiculus,Species,valid,162711
169504,Kyphosus,Genus,valid,645318
645317,Centropominae,Subfamily,valid,167642
573101,Gonatopsis (Boreoteuthis),Subgenus,valid,82415
168753,Gnathanodon speciosus,Species,valid,168752
645117,Hyporhamphus (Hyporhamphus),Subgenus,valid,165473
162100,Macropinna,Genus,valid,162099
615941,Pleuronectinae,Subfamily,valid,172859
173129,Aluterus,Genus,valid,203428
171550,Chaenopsidae,Family,valid,171123
162209,Woodsia,Genus,valid,622313
82406,Abralia,Genus,valid,82397
172919,Isopsetta isolepis,Species,valid,172878
172922,Pleuronichthys,Genus,valid,615946
164674,Laemonema,Genus,valid,164670
616294,Citharichthys platophrys,Species,valid,172715
622722,Brotulinae,Subfamily,valid,164807
164514,Antennarioidei,Suborder,valid,164495
165333,Coryphaenoides,Genus,valid,550565
165508,Exocoetus volitans,Species,valid,165506
164722,Theragra chalcogramma,Species,invalid,0
556422,Octopoteuthis nielseni,Species,valid,82432
167464,Sarritor frenatus,Species,valid,167463
173061,Symphurus,Genus,valid,615943
162366,Bathylaco,Genus,valid,162365
162316,Alepocephalus tenebrosus,Species,valid,162308
162535,Evermannellidae,Family,valid,553150
166864,Scorpaenodes xyris,Species,valid,166861
182856,Leuroglossus urotranus,Species,valid,162095
170476,Labroidei,Suborder,valid,167640
644842,Macroramphosidae,Family,valid,166438
161694,Clupeiformes,Order,valid,161693
166403,Aulorhynchus,Genus,valid,166402
